1 PERIODO,2 CUO,3 CORRELATIVO,4 FECHA DE EMISION DEL COMP DE PAGO O DOC,5 TIPO DE COMP DE PAGO O DOC,6 SERIE DEL COMP DE PAGO O DOC,7 NRO DEL COMP DE PAGO O DOC,8 VALOR DE ADQUISICIONES,9 OTROS CONCEPTOS, TRIBUTOS Y CARGOS QUE NO FORMEN PARTE DE LA BASE IMPONIBLE,10 IMPORTE TOTAL DE LAS ADQUISICIONES REGISTRADAS SEGÚN COMPROBANTES DE PAGO,11 TIPO DE COMPROBANTE DE PAGO QUE SUSTENTA EL CRÉDITO FISCAL,12 SERIE COMPROBANTE DE PAGO O DOC (DUA) (DSI),13 AÑO DE EMISIÓN DE LA DUA O DSI,14 NÚMERO DE ORDEN FISICO O VIRTUAL DEL NO DOMICIALILADO (DUA) (DSI),15 Monto de Retención del IGV,16 Codigo de Moneda,17 Tipo de Cambio,18 Pais de la Residencia del No Domiciliado,19 Apellidos y Nombres o Razón Social del No Domiciliado,20. Domicilio en el Extranjero del No Domiciliado,21 Número de Identificación del No Domiciliado,22 Nro de identificación Fiscal del Beneficiario efectivo de los pagos,23 Ap y Nom denominación o Razón Social del Proveedor,24 País de Residencia del Beneficiario efectivos de los pagos,25 Vínculo Contrib. y Res. Extranj.,26 Renta Bruta,27 Deducción / Costo de Enajenación de Bienes de Capital,28 Renta Neta,29 Tasa de Retención,30 Impuesto Retenido,31 Convenios para evitar la doble Imposición,32 Exoneración Aplicada,33 Tipo de Renta,34 Modalidad del Servicio Prestado por el No Domiciliado,35 Aplicación del Penúltimo párrafo del Art 76° de la Ley de Impuesto a la Renta,36 Estado que identifica la Oportunidad de la Anotación o Indicación,37 Periodo,38 Periodo Inicial,39 Periodo Final,
20240100,31531,M31531,24/01/2024,91,0000,98678,.00,0.00,3832.00,,,,,0.00,USD,3.832,9215,JIANGSU ZHONTIANG,NO 6 ZHONGTIAN ROAD, NANTONG ECONOMIC AND TECHNICAL DEVELOPMENT ZONE-JIANGSU-China,91320600138,91320600138,JIANGSU ZHONTIANG,9215,00,0.00,0.00,0.00,30.00,1149.60,,,,,,0,127,undefined,undefined,
20240100,17302,M17302,09/01/2024,91,0000,ZTT-MZ-20230809-1,.00,0.00,5000.01,,,,,0.00,USD,3.705,9215,JIANGSU ZHONTIANG,NO 6 ZHONGTIAN ROAD, NANTONG ECONOMIC AND TECHNICAL DEVELOPMENT ZONE-JIANGSU-China,91320600138,91320600138,JIANGSU ZHONTIANG,9215,00,0.00,0.00,0.00,,0.00,,,,,,0,127,undefined,undefined,
20240100,31528,M31528,24/01/2024,91,0000,0000345678,.00,0.00,7664.00,,,,,0.00,USD,3.832,9215,JIANGSU ZHONTIANG,NO 6 ZHONGTIAN ROAD, NANTONG ECONOMIC AND TECHNICAL DEVELOPMENT ZONE-JIANGSU-China,91320600138,91320600138,JIANGSU ZHONTIANG,9215,00,0.00,0.00,0.00,30.00,2299.20,,,,,,0,127,undefined,undefined,
20240100,17271,M17271,05/01/2024,91,000000,WER  40000,.00,0.00,.00,,,,,0.00,USD,3.705,9215,JIANGSU ZHONTIANG,NO 6 ZHONGTIAN ROAD, NANTONG ECONOMIC AND TECHNICAL DEVELOPMENT ZONE-JIANGSU-China,91320600138,91320600138,JIANGSU ZHONTIANG,9215,00,0.00,0.00,0.00,30.00,22230.00,,,,,,0,127,undefined,undefined,
20240100,17303,M17303,09/01/2024,91,0000,ZTT-MZ-20230809-1,.00,0.00,7548.01,46,,,,0.00,USD,3.705,9215,JIANGSU ZHONTIANG,NO 6 ZHONGTIAN ROAD, NANTONG ECONOMIC AND TECHNICAL DEVELOPMENT ZONE-JIANGSU-China,91320600138,91320600138,JIANGSU ZHONTIANG,9215,00,0.00,0.00,0.00,,0.00,,,,1,,0,127,undefined,undefined,
20240100,31532,M31532,24/01/2024,91,0000,98765432,.00,0.00,10346.40,,,,,0.00,USD,3.832,9215,JIANGSU ZHONTIANG,NO 6 ZHONGTIAN ROAD, NANTONG ECONOMIC AND TECHNICAL DEVELOPMENT ZONE-JIANGSU-China,91320600138,91320600138,JIANGSU ZHONTIANG,9215,00,0.00,0.00,0.00,,0.00,,,,,,0,127,undefined,undefined,
